"","sp","edge","hmin","hmax"
"1",6,6,0.00315528595290534,0.00315528595290534
"2",6,6,0.0414327655695572,0.0414327655695572
"3",7,7,0.0696062156188071,0.0696062156188071
"4",12,12,0.0475218979522719,0.0475218979522719
"5",12,12,0.567560497333373,0.567560497333373
"6",12,12,0.381605697984031,0.381605697984031
"7",12,12,0.309356598404573,0.309356598404573
"8",13,13,0.00431890625301622,0.00431890625301622
"9",24,24,0.0546981769010571,0.0546981769010571
"10",42,42,0.950258871663839,0.950258871663839
"11",46,46,0.722789133447089,0.722789133447089
"12",46,46,0.757322436086602,0.757322436086602
"13",58,58,1.60446377086688,1.60446377086688
"14",61,61,2.24048995974444,2.24048995974444
"15",62,62,1.62937621374186,1.62937621374186
"16",66,66,1.79725760312859,1.79725760312859
"17",100,100,1.49922313158632,1.49922313158632
"18",108,108,1.44332773892121,1.44332773892121
"19",140,140,2.85893964844816,2.85893964844816
"20",146,146,2.07200483365251,2.07200483365251
"21",156,156,1.7530157995626,1.7530157995626
"22",166,166,1.41377016915545,1.41377016915545
"23",167,167,1.54470847089461,1.54470847089461
"24",169,169,0.913051854066193,0.913051854066193
"25",170,170,0.682894841016797,0.682894841016797
"26",182,182,0.639378066385619,0.639378066385619
"27",198,198,0.901390666863414,0.901390666863414
"28",200,200,0.922353725352468,0.922353725352468
"29",204,204,1.49991161355169,1.49991161355169
"30",211,211,0.878450064131551,0.878450064131551
"31",211,211,0.903881850157859,0.903881850157859
"32",213,213,0.357878601939537,0.357878601939537
"33",218,218,1.20123083965512,1.20123083965512
"34",221,221,0.587153489118558,0.587153489118558
"35",221,221,0.48508465895667,0.48508465895667
"36",231,231,0.253560803400926,0.253560803400926
"37",234,234,0.11892770477043,0.11892770477043
"38",245,245,0.168374763865367,0.168374763865367
"39",246,246,0.261311066024866,0.261311066024866
"40",249,249,0.144470352997976,0.144470352997976
"41",251,251,0.415680042353436,0.415680042353436
"42",256,256,0.477380234597116,0.477380234597116
"43",264,264,2.66073830029074,2.66073830029074
