Mu,lamda,tree_num
0,0,0
ntips,mu,tree_num,SA_num
10,1,1,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,2,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,3,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,4,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,5,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,6,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,7,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,8,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,9,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,10,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,11,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,12,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,13,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,14,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,15,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,16,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,17,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,18,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,19,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,20,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,21,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,22,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,23,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,24,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,25,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,26,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,27,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,28,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,29,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,30,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,31,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,32,There was an error while analysing your Nexus file
